subject,age1,age2
S-01,52,52
S-02,50,49
S-03,50,NA
S-04,48,48
S-05,52,61
S-06,54,54
S-07,45,40
S-08,51,49
S-09,53,55
S-10,55,49
S-11,42,45
S-12,43,52
S-13,46,47
S-14,50,50
S-15,34,38
S-16,52,52
S-17,55,55
S-18,50,48
S-19,50,60
S-20,45,47
S-21,50,54
S-22,50,52
S-23,45,53
S-24,48,49
S-25,55,48
S-26,51,47
S-27,45,50
S-28,50,48
S-29,45,50
S-30,45,50
S-31,55,57
S-32,52,57
S-33,50,52
S-34,49,51
S-35,53,51
S-36,55,53
S-37,60,65
S-38,50,45
S-39,53,55
S-40,50,52
S-41,55,48
S-42,49,54
S-43,48,NA
S-44,50,60
S-45,35,40
S-46,30,40
S-47,50,47
S-48,44,48
S-49,45,39
S-50,50,51
S-51,44,51
